
 ELEMENT-ID        FORCE-X       FORCE-Y       FORCE-Z      MOMENT-X      MOMENT-Y      MOMENT-Z  
       11067      1.593255E+03  4.685718E+03  1.218348E+03  1.033363E-02  6.658816E+01  7.564601E+01
       11068      1.593083E+03  4.685718E+03  1.218356E+03  1.033501E-02  6.657968E+01  7.564265E+01
       11069      2.287865E+03  2.143407E+03  3.598312E+02  2.492234E-03  9.084634E+01  1.177829E+02
       11070      5.868716E+03  2.613571E+03  6.525537E+01  1.459188E-02  1.788042E+01  2.583197E+02
       11071      5.868747E+03  2.613598E+03  6.510924E+01  1.459581E-02  1.786871E+01  2.583205E+02
       11072      2.287818E+03  2.143385E+03  3.597245E+02  2.487982E-03  9.084813E+01  1.177840E+02
       11073      1.593234E+03  4.685727E+03  1.218331E+03  1.033387E-02  6.658726E+01  7.564600E+01
       11074      1.593111E+03  4.685643E+03  1.218370E+03  1.033405E-02  6.658086E+01  7.564238E+01
       11075      2.287788E+03  2.143443E+03  3.598070E+02  2.490559E-03  9.084618E+01  1.177834E+02
       11076      5.868736E+03  2.613557E+03  6.523588E+01  1.459277E-02  1.788054E+01  2.583207E+02
       11077      5.868765E+03  2.613616E+03  6.512904E+01  1.459563E-02  1.786881E+01  2.583213E+02
       11078      2.287828E+03  2.143379E+03  3.597196E+02  2.487694E-03  9.084856E+01  1.177844E+02
